location_name,longitude,latitude,city,country
Museum of the Weird,30.267,-97.7387,Austin,Texas
Harvard Museum of Natural History,42.3789,-71.1152,Cambridge, Massachusets
Off the Rez Cafe,47.6603,-122.3116,Seattle, Washington
Laurel Dinosaur Park,39.0708,-76.8686,Laurel, Maryland
Frederick R Weisman Art Museum,44.9718,-93.2374,Minneapolis, Minnesota
V. C. Morris Gift Shop,37.7883,-122.4059,San Francisco, California
Crazy Horse Memorial,43.8368,-103.6244,Custer, South Dakota
New Mexico Museum of Space History,32.9216,-105.9206,Alamogordo, New Mexico
Museum of Psychphonics,39.7528,-86.141,Indianapolis, Indiana
Thorne Miniature Rooms,41.8796,-87.6237,Chicago, Illinois
